SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
290,KA,Karnataka,KA_Mandya,Mandya,334,87,247,0,0,0,-11,11,0,,
291,KA,Karnataka,KA_Mysuru,Mysuru,99,5,94,0,0,0,0,0,0,,
0,KA,Karnataka,KA_Other State,Other State,34,6,27,1,0,0,0,0,0,,
292,KA,Karnataka,KA_Raichur,Raichur,359,276,82,1,0,0,0,0,0,,
293,KA,Karnataka,KA_Ramanagara,Ramanagara,7,6,1,0,0,2,2,0,0,,
294,KA,Karnataka,KA_Shivamogga,Shivamogga,73,42,31,0,0,0,0,0,0,,
295,KA,Karnataka,KA_Tumakuru,Tumakuru,34,4,28,2,0,0,0,0,0,,
296,KA,Karnataka,KA_Udupi,Udupi,947,619,327,1,0,0,-93,93,0,,
297,KA,Karnataka,KA_Uttara Kannada,Uttara Kannada,96,14,82,0,0,0,-10,10,0,,
298,KA,Karnataka,KA_Vijayapura,Vijayapura,217,80,131,6,0,13,13,0,0,,
299,KA,Karnataka,KA_Yadgir,Yadgir,669,560,108,1,0,27,10,17,0,,
0,KL,Kerala,KL_Other State,Other State,2,2,0,0,0,0,0,0,0,,
300,KL,Kerala,KL_Alappuzha,Alappuzha,107,82,24,1,0,1,-6,7,0,,
301,KL,Kerala,KL_Ernakulam,Ernakulam,87,45,41,1,0,4,2,2,0,,
302,KL,Kerala,KL_Idukki,Idukki,53,27,26,0,0,4,4,0,0,,
303,KL,Kerala,KL_Kannur,Kannur,274,112,160,2,0,4,-9,13,0,,
304,KL,Kerala,KL_Kasaragod,Kasaragod,339,104,235,0,0,0,-11,11,0,,
305,KL,Kerala,KL_Kollam,Kollam,133,98,34,1,0,4,0,4,0,,
306,KL,Kerala,KL_Kottayam,Kottayam,84,40,43,1,0,3,1,2,0,,
307,KL,Kerala,KL_Kozhikode,Kozhikode,132,72,59,1,0,10,7,3,0,,
308,KL,Kerala,KL_Malappuram,Malappuram,230,168,59,3,0,7,7,0,0,,
309,KL,Kerala,KL_Palakkad,Palakkad,252,184,67,1,0,6,6,0,0,,
310,KL,Kerala,KL_Pathanamthitta,Pathanamthitta,115,80,35,0,0,3,-3,6,0,,
311,KL,Kerala,KL_Thiruvananthapuram,Thiruvananthapuram,121,71,47,3,0,6,3,3,0,,
312,KL,Kerala,KL_Thrissur,Thrissur,179,132,44,3,0,9,8,0,1,,
313,KL,Kerala,KL_Wayanad,Wayanad,54,22,31,1,0,4,-2,6,0,,
314,LA,Ladakh,LA_Kargil,Kargil,54,41,13,0,0,0,0,0,0,,
315,LA,Ladakh,LA_Leh,Leh,61,23,37,1,0,7,7,0,0,,
316,LD,Lakshadweep,LD_Lakshadweep,Lakshadweep,0,0,0,0,0,0,0,0,0,,
369,MH,Maharashtra,MH_Ahmednagar,Ahmednagar,220,72,139,9,0,10,-8,18,0,,
370,MH,Maharashtra,MH_Akola,Akola,882,345,497,40,0,34,-18,50,2,,
371,MH,Maharashtra,MH_Amravati,Amravati,305,75,210,20,0,2,-9,10,1,,
372,MH,Maharashtra,MH_Aurangabad,Aurangabad,2173,773,1283,117,0,88,69,12,7,,
374,MH,Maharashtra,MH_Beed,Beed,63,15,46,2,0,0,-1,0,1,,
373,MH,Maharashtra,MH_Bhandara,Bhandara,42,11,31,0,0,0,-7,7,0,,
375,MH,Maharashtra,MH_Buldhana,Buldhana,98,39,56,3,0,1,-1,2,0,,
376,MH,Maharashtra,MH_Chandrapur,Chandrapur,45,19,26,0,0,3,3,0,0,,
377,MH,Maharashtra,MH_Dhule,Dhule,334,174,135,25,0,44,38,6,0,,
378,MH,Maharashtra,MH_Gadchiroli,Gadchiroli,45,7,37,1,0,0,-4,3,1,,
379,MH,Maharashtra,MH_Gondia,Gondia,68,1,67,0,0,0,0,0,0,,
380,MH,Maharashtra,MH_Hingoli,Hingoli,214,35,179,0,0,0,-11,11,0,,
381,MH,Maharashtra,MH_Jalgaon,Jalgaon,1288,599,569,120,0,139,81,53,5,,
382,MH,Maharashtra,MH_Jalna,Jalna,225,72,148,5,0,16,-1,17,0,,
383,MH,Maharashtra,MH_Kolhapur,Kolhapur,671,193,470,8,0,1,-39,40,0,,
384,MH,Maharashtra,MH_Latur,Latur,147,25,118,4,0,8,2,6,0,,
385,MH,Maharashtra,MH_Mumbai,Mumbai,52667,27116,23694,1857,0,1567,719,751,97,,
386,MH,Maharashtra,MH_Mumbai Suburban,Mumbai Suburban,0,0,0,0,0,0,0,0,0,,
387,MH,Maharashtra,MH_Nagpur,Nagpur,831,324,495,12,0,43,26,17,0,,
388,MH,Maharashtra,MH_Nanded,Nanded,174,53,113,8,0,3,3,0,0,,
389,MH,Maharashtra,MH_Nandurbar,Nandurbar,44,12,28,4,0,4,4,0,0,,
390,MH,Maharashtra,MH_Nashik,Nashik,1704,479,1130,95,0,44,8,36,0,,
391,MH,Maharashtra,MH_Osmanabad,Osmanabad,140,54,83,3,0,15,6,9,0,,
0,MH,Maharashtra,MH_Other State,Other State,80,60,0,20,0,2,2,0,0,,
392,MH,Maharashtra,MH_Palghar,Palghar,1738,1048,645,45,0,102,63,37,2,,
393,MH,Maharashtra,MH_Parbhani,Parbhani,80,19,58,3,0,2,-6,8,0,,
394,MH,Maharashtra,MH_Pune,Pune,10406,3888,6079,439,0,333,147,176,10,,
395,MH,Maharashtra,MH_Raigad,Raigad,1575,536,981,58,0,75,20,55,0,,
396,MH,Maharashtra,MH_Ratnagiri,Ratnagiri,381,176,191,14,0,3,-1,4,0,,
397,MH,Maharashtra,MH_Sangli,Sangli,188,78,106,4,0,8,-3,11,0,,
398,MH,Maharashtra,MH_Satara,Satara,681,293,361,27,0,23,21,2,0,,
399,MH,Maharashtra,MH_Sindhudurg,Sindhudurg,133,82,51,0,0,3,-17,20,0,,
400,MH,Maharashtra,MH_Solapur,Solapur,1483,717,654,112,0,15,-12,27,0,,
401,MH,Maharashtra,MH_Thane,Thane,14720,8636,5706,378,0,657,146,488,23,,
402,MH,Maharashtra,MH_Wardha,Wardha,14,6,7,1,0,3,3,0,0,,
403,MH,Maharashtra,MH_Washim,Washim,14,6,6,2,0,2,2,0,0,,
404,MH,Maharashtra,MH_Yavatmal,Yavatmal,168,49,117,2,0,4,3,1,0,,
421,ML,Meghalaya,ML_East Garo Hills,East Garo Hills,0,0,0,0,0,0,0,0,0,,
422,ML,Meghalaya,ML_East Jaintia Hills,East Jaintia Hills,0,0,0,0,0,0,0,0,0,,
423,ML,Meghalaya,ML_East Khasi Hills,East Khasi Hills,20,6,13,1,0,1,1,0,0,,
424,ML,Meghalaya,ML_North Garo Hills,North Garo Hills,1,1,0,0,0,0,0,0,0,,
425,ML,Meghalaya,ML_Ribhoi,Ribhoi,1,1,0,0,0,0,0,0,0,,
426,ML,Meghalaya,ML_South Garo Hills,South Garo Hills,0,0,0,0,0,0,0,0,0,,
427,ML,Meghalaya,ML_South West Garo Hills,South West Garo Hills,4,4,0,0,0,0,0,0,0,,
428,ML,Meghalaya,ML_South West Khasi Hills,South West Khasi Hills,0,0,0,0,0,0,0,0,0,,
429,ML,Meghalaya,ML_West Garo Hills,West Garo Hills,5,5,0,0,0,0,0,0,0,,
430,ML,Meghalaya,ML_West Jaintia Hills,West Jaintia Hills,4,4,0,0,0,0,0,0,0,,
431,ML,Meghalaya,ML_West Khasi Hills,West Khasi Hills,1,1,0,0,0,0,0,0,0,,
405,MN,Manipur,MN_Bishnupur,Bishnupur,40,39,1,0,0,0,0,0,0,,
406,MN,Manipur,MN_Chandel,Chandel,4,4,0,0,0,0,0,0,0,,
407,MN,Manipur,MN_Churachandpur,Churachandpur,41,38,3,0,0,0,0,0,0,,
408,MN,Manipur,MN_Imphal East,Imphal East,15,3,12,0,0,5,5,0,0,,
409,MN,Manipur,MN_Imphal West,Imphal West,42,37,5,0,0,0,0,0,0,,
410,MN,Manipur,MN_Jiribam,Jiribam,0,0,0,0,0,0,0,0,0,,
411,MN,Manipur,MN_Kakching,Kakching,22,22,0,0,0,0,0,0,0,,
412,MN,Manipur,MN_Kamjong,Kamjong,11,9,2,0,0,0,0,0,0,,
413,MN,Manipur,MN_Kangpokpi,Kangpokpi,43,43,0,0,0,0,0,0,0,,
414,MN,Manipur,MN_Noney,Noney,13,12,1,0,0,0,0,0,0,,
415,MN,Manipur,MN_Pherzawl,Pherzawl,5,5,0,0,0,2,2,0,0,,
416,MN,Manipur,MN_Senapati,Senapati,7,7,0,0,0,0,0,0,0,,
417,MN,Manipur,MN_Tamenglong,Tamenglong,5,4,1,0,0,0,0,0,0,,
418,MN,Manipur,MN_Tengnoupal,Tengnoupal,9,9,0,0,0,0,0,0,0,,
419,MN,Manipur,MN_Thoubal,Thoubal,10,6,4,0,0,0,0,0,0,,
420,MN,Manipur,MN_Ukhrul,Ukhrul,13,11,2,0,0,0,0,0,0,,
317,MP,Madhya Pradesh,MP_Agar Malwa,Agar Malwa,15,2,12,1,0,0,0,0,0,,
318,MP,Madhya Pradesh,MP_Alirajpur,Alirajpur,3,0,3,0,0,0,0,0,0,,
319,MP,Madhya Pradesh,MP_Anuppur,Anuppur,24,7,17,0,0,0,0,0,0,,
320,MP,Madhya Pradesh,MP_Ashoknagar,Ashoknagar,32,20,11,1,0,0,0,0,0,,
321,MP,Madhya Pradesh,MP_Balaghat,Balaghat,11,6,5,0,0,0,0,0,0,,
322,MP,Madhya Pradesh,MP_Barwani,Barwani,62,9,51,2,0,3,-1,3,1,,
323,MP,Madhya Pradesh,MP_Betul,Betul,36,10,26,0,0,1,1,0,0,,
324,MP,Madhya Pradesh,MP_Bhind,Bhind,106,50,56,0,0,1,-4,5,0,,
325,MP,Madhya Pradesh,MP_Bhopal,Bhopal,1927,506,1355,66,0,47,17,29,1,,
326,MP,Madhya Pradesh,MP_Burhanpur,Burhanpur,377,76,282,19,0,4,-6,10,0,,
327,MP,Madhya Pradesh,MP_Chhatarpur,Chhatarpur,41,12,29,0,0,0,-2,2,0,,
328,MP,Madhya Pradesh,MP_Chhindwara,Chhindwara,29,24,4,1,0,11,11,0,0,,
329,MP,Madhya Pradesh,MP_Damoh,Damoh,27,4,23,0,0,1,1,0,0,,
330,MP,Madhya Pradesh,MP_Datia,Datia,20,13,6,1,0,0,0,0,0,,
331,MP,Madhya Pradesh,MP_Dewas,Dewas,145,55,81,9,0,9,4,5,0,,
332,MP,Madhya Pradesh,MP_Dhar,Dhar,129,3,122,4,0,0,-3,3,0,,
333,MP,Madhya Pradesh,MP_Dindori,Dindori,29,13,16,0,0,0,-11,11,0,,
335,MP,Madhya Pradesh,MP_Guna,Guna,9,7,2,0,0,2,2,0,0,,
336,MP,Madhya Pradesh,MP_Gwalior,Gwalior,228,111,115,2,0,12,12,0,0,,
337,MP,Madhya Pradesh,MP_Harda,Harda,3,0,3,0,0,0,0,0,0,,
338,MP,Madhya Pradesh,MP_Hoshangabad,Hoshangabad,37,0,34,3,0,0,0,0,0,,
339,MP,Madhya Pradesh,MP_Indore,Indore,3881,1129,2591,161,0,51,24,25,2,,
340,MP,Madhya Pradesh,MP_Jabalpur,Jabalpur,283,53,219,11,0,2,-2,4,0,,
341,MP,Madhya Pradesh,MP_Jhabua,Jhabua,13,0,12,1,0,0,0,0,0,,
342,MP,Madhya Pradesh,MP_Katni,Katni,3,3,0,0,0,0,0,0,0,,
334,MP,Madhya Pradesh,MP_Khandwa,Khandwa,274,30,227,17,0,0,-3,3,0,,
368,MP,Madhya Pradesh,MP_Khargone,Khargone,209,58,138,13,0,4,2,2,0,,
343,MP,Madhya Pradesh,MP_Mandla,Mandla,5,1,3,1,0,0,-2,2,0,,
344,MP,Madhya Pradesh,MP_Mandsaur,Mandsaur,95,3,83,9,0,0,0,0,0,,
345,MP,Madhya Pradesh,MP_Morena,Morena,133,40,92,1,0,2,2,0,0,,
346,MP,Madhya Pradesh,MP_Narsinghpur,Narsinghpur,18,14,4,0,0,1,1,0,0,,
347,MP,Madhya Pradesh,MP_Neemuch,Neemuch,353,126,222,5,0,10,-13,23,0,,
348,MP,Madhya Pradesh,MP_Niwari,Niwari,0,0,0,0,0,0,0,0,0,,
0,MP,Madhya Pradesh,MP_Other Region,Other Region,0,0,0,0,0,0,0,0,0,,
349,MP,Madhya Pradesh,MP_Panna,Panna,21,2,19,0,0,0,-4,4,0,,
350,MP,Madhya Pradesh,MP_Raisen,Raisen,76,8,65,3,0,1,1,0,0,,
351,MP,Madhya Pradesh,MP_Rajgarh,Rajgarh,37,25,9,3,0,4,4,0,0,,
352,MP,Madhya Pradesh,MP_Ratlam,Ratlam,85,46,35,4,0,24,21,3,0,,
353,MP,Madhya Pradesh,MP_Rewa,Rewa,38,3,34,1,0,0,-1,0,1,,
354,MP,Madhya Pradesh,MP_Sagar,Sagar,242,78,151,13,0,5,0,4,1,,
355,MP,Madhya Pradesh,MP_Satna,Satna,22,1,19,2,0,0,0,0,0,,
356,MP,Madhya Pradesh,MP_Sehore,Sehore,11,0,9,2,0,0,-5,5,0,,
357,MP,Madhya Pradesh,MP_Seoni,Seoni,2,0,2,0,0,0,0,0,0,,
358,MP,Madhya Pradesh,MP_Shahdol,Shahdol,13,6,7,0,0,0,0,0,0,,
359,MP,Madhya Pradesh,MP_Shajapur,Shajapur,38,27,8,3,0,0,-1,0,1,,
360,MP,Madhya Pradesh,MP_Sheopur,Sheopur,53,38,13,2,0,3,-3,6,0,,
361,MP,Madhya Pradesh,MP_Shivpuri,Shivpuri,17,9,8,0,0,0,0,0,0,,
362,MP,Madhya Pradesh,MP_Sidhi,Sidhi,17,5,12,0,0,0,0,0,0,,
363,MP,Madhya Pradesh,MP_Singrauli,Singrauli,12,1,11,0,0,0,0,0,0,,
364,MP,Madhya Pradesh,MP_Tikamgarh,Tikamgarh,16,8,7,1,0,0,0,0,0,,
365,MP,Madhya Pradesh,MP_Ujjain,Ujjain,745,69,612,64,0,2,-8,10,0,,
366,MP,Madhya Pradesh,MP_Umaria,Umaria,10,7,2,1,0,0,0,0,0,,
367,MP,Madhya Pradesh,MP_Vidisha,Vidisha,37,12,25,0,0,0,-4,4,0,,
432,MZ,Mizoram,MZ_Aizawl,Aizawl,13,12,1,0,0,1,1,0,0,,
433,MZ,Mizoram,MZ_Champhai,Champhai,5,5,0,0,0,0,0,0,0,,
729,MZ,Mizoram,MZ_Hnahthial,Hnahthial,0,0,0,0,0,0,0,0,0,,
730,MZ,Mizoram,MZ_Khawzawl,Khawzawl,2,2,0,0,0,0,0,0,0,,
434,MZ,Mizoram,MZ_Kolasib,Kolasib,11,11,0,0,0,0,0,0,0,,
435,MZ,Mizoram,MZ_Lawngtlai,Lawngtlai,4,4,0,0,0,1,1,0,0,,
436,MZ,Mizoram,MZ_Lunglei,Lunglei,45,45,0,0,0,0,0,0,0,,
437,MZ,Mizoram,MZ_Mamit,Mamit,8,8,0,0,0,0,0,0,0,,
438,MZ,Mizoram,MZ_Saiha,Saiha,1,1,0,0,0,0,0,0,0,,
728,MZ,Mizoram,MZ_Saitual,Saitual,3,3,0,0,0,2,2,0,0,,
439,MZ,Mizoram,MZ_Serchhip,Serchhip,1,1,0,0,0,1,1,0,0,,
440,NL,Nagaland,NL_Dimapur,Dimapur,16,4,12,0,0,0,-4,4,0,,
441,NL,Nagaland,NL_Kiphire,Kiphire,4,4,0,0,0,0,0,0,0,,
442,NL,Nagaland,NL_Kohima,Kohima,8,-2,10,0,0,1,-7,8,0,,
443,NL,Nagaland,NL_Longleng,Longleng,0,0,0,0,0,0,0,0,0,,
444,NL,Nagaland,NL_Mokokchung,Mokokchung,0,0,0,0,0,0,0,0,0,,
445,NL,Nagaland,NL_Mon,Mon,23,23,0,0,0,0,0,0,0,,
446,NL,Nagaland,NL_Peren,Peren,62,62,0,0,0,0,0,0,0,,
447,NL,Nagaland,NL_Phek,Phek,1,1,0,0,0,0,0,0,0,,
448,NL,Nagaland,NL_Tuensang,Tuensang,8,8,0,0,0,0,0,0,0,,
449,NL,Nagaland,NL_Wokha,Wokha,5,5,0,0,0,0,0,0,0,,
450,NL,Nagaland,NL_Zunheboto,Zunheboto,1,1,0,0,0,0,0,0,0,,
0,OR,Odisha,OR_NDRF-ODRF,NDRF-ODRF,61,61,0,0,0,0,0,0,0,Returned from West Bengal Amphan duty,
451,OR,Odisha,OR_Angul,Angul,33,8,25,0,0,0,0,0,0,,
452,OR,Odisha,OR_Balangir,Balangir,124,44,80,0,0,1,-10,11,0,,
453,OR,Odisha,OR_Balasore,Balasore,197,37,159,1,0,0,-7,7,0,,
454,OR,Odisha,OR_Bargarh,Bargarh,18,7,11,0,0,2,2,0,0,,
456,OR,Odisha,OR_Bhadrak,Bhadrak,152,17,135,0,0,1,-4,5,0,,
455,OR,Odisha,OR_Boudh,Boudh,35,1,34,0,0,1,0,1,0,,
457,OR,Odisha,OR_Cuttack,Cuttack,209,89,119,1,0,20,18,2,0,,
458,OR,Odisha,OR_Deogarh,Deogarh,38,6,32,0,0,0,0,0,0,,
459,OR,Odisha,OR_Dhenkanal,Dhenkanal,39,18,21,0,0,0,0,0,0,,
460,OR,Odisha,OR_Gajapati,Gajapati,72,39,33,0,0,11,11,0,0,,
461,OR,Odisha,OR_Ganjam,Ganjam,649,147,498,4,0,0,-57,57,0,,
462,OR,Odisha,OR_Jagatsinghpur,Jagatsinghpur,130,54,76,0,0,33,25,8,0,,
463,OR,Odisha,OR_Jajpur,Jajpur,326,39,287,0,0,0,-7,7,0,,
464,OR,Odisha,OR_Jharsuguda,Jharsuguda,9,2,7,0,0,1,1,0,0,,
465,OR,Odisha,OR_Kalahandi,Kalahandi,36,21,15,0,0,4,4,0,0,,
466,OR,Odisha,OR_Kandhamal,Kandhamal,37,15,22,0,0,0,0,0,0,,
467,OR,Odisha,OR_Kendrapara,Kendrapara,170,9,161,0,0,1,-4,5,0,,
468,OR,Odisha,OR_Kendujhar,Kendujhar,46,21,25,0,0,1,-2,3,0,,
469,OR,Odisha,OR_Khordha,Khordha,290,102,183,5,0,14,-12,26,0,,
470,OR,Odisha,OR_Koraput,Koraput,17,9,8,0,0,1,0,1,0,,
471,OR,Odisha,OR_Malkangiri,Malkangiri,22,1,21,0,0,0,0,0,0,,
472,OR,Odisha,OR_Mayurbhanj,Mayurbhanj,83,67,16,0,0,4,4,0,0,,
473,OR,Odisha,OR_Nabarangapur,Nabarangapur,2,0,2,0,0,0,0,0,0,,
474,OR,Odisha,OR_Nayagarh,Nayagarh,97,22,75,0,0,4,-3,7,0,,
475,OR,Odisha,OR_Nuapada,Nuapada,72,15,57,0,0,0,0,0,0,,
476,OR,Odisha,OR_Puri,Puri,115,23,92,0,0,7,2,5,0,,
477,OR,Odisha,OR_Rayagada,Rayagada,7,7,0,0,0,4,4,0,0,,
478,OR,Odisha,OR_Sambalpur,Sambalpur,17,5,12,0,0,0,0,0,0,,
479,OR,Odisha,OR_Subarnapur,Subarnapur,29,22,7,0,0,0,0,0,0,,
480,OR,Odisha,OR_Sundargarh,Sundargarh,118,49,69,0,0,0,-4,4,0,,
485,PB,Punjab,PB_Amritsar,Amritsar,515,148,356,11,0,13,13,0,0,,
486,PB,Punjab,PB_Barnala,Barnala,28,3,24,1,0,1,-1,2,0,,
487,PB,Punjab,PB_Bathinda,Bathinda,55,5,50,0,0,0,-5,5,0,,
488,PB,Punjab,PB_Faridkot,Faridkot,86,25,61,0,0,13,13,0,0,,
489,PB,Punjab,PB_Fatehgarh Sahib,Fatehgarh Sahib,73,9,64,0,0,3,2,1,0,,
490,PB,Punjab,PB_Fazilka,Fazilka,48,5,43,0,0,0,0,0,0,,
491,PB,Punjab,PB_Ferozepur,Ferozepur,46,0,45,1,0,0,0,0,0,,
492,PB,Punjab,PB_Gurdaspur,Gurdaspur,165,26,136,3,0,13,9,4,0,,
493,PB,Punjab,PB_Hoshiarpur,Hoshiarpur,135,2,128,5,0,0,-3,3,0,,
494,PB,Punjab,PB_Jalandhar,Jalandhar,312,65,239,8,0,1,-8,9,0,,
495,PB,Punjab,PB_Kapurthala,Kapurthala,41,5,33,3,0,1,1,0,0,,
496,PB,Punjab,PB_Ludhiana,Ludhiana,277,93,174,10,0,11,-3,14,0,,
497,PB,Punjab,PB_Mansa,Mansa,34,2,32,0,0,0,0,0,0,,
498,PB,Punjab,PB_Moga,Moga,67,2,65,0,0,0,-1,1,0,,
499,PB,Punjab,PB_Pathankot,Pathankot,113,44,65,4,0,19,8,11,0,,
500,PB,Punjab,PB_Patiala,Patiala,142,27,112,3,0,3,3,0,0,,
501,PB,Punjab,PB_Rupnagar,Rupnagar,71,2,68,1,0,0,0,0,0,,
502,PB,Punjab,PB_S.A.S. Nagar,S.A.S. Nagar,136,24,109,3,0,3,-1,4,0,,
503,PB,Punjab,PB_Sangrur,Sangrur,120,19,101,0,0,4,-1,5,0,,
504,PB,Punjab,PB_Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,110,5,104,1,0,1,-2,3,0,,
505,PB,Punjab,PB_Sri Muktsar Sahib,Sri Muktsar Sahib,71,5,66,0,0,0,0,0,0,,
506,PB,Punjab,PB_Tarn Taran,Tarn Taran,160,2,157,1,0,0,-3,3,0,,
481,PY,Puducherry,PY_Karaikal,Karaikal,2,0,2,0,0,0,0,0,0,,
482,PY,Puducherry,PY_Mahe,Mahe,6,2,4,0,0,0,0,0,0,,
483,PY,Puducherry,PY_Puducherry,Puducherry,136,82,54,0,0,12,7,5,0,,
484,PY,Puducherry,PY_Yanam,Yanam,0,0,0,0,0,0,0,0,0,,
507,RJ,Rajasthan,RJ_Ajmer,Ajmer,380,38,331,11,0,3,3,0,0,,
508,RJ,Rajasthan,RJ_Alwar,Alwar,171,117,52,2,0,2,2,0,0,,
509,RJ,Rajasthan,RJ_Banswara,Banswara,90,4,84,2,0,0,-1,1,0,,
510,RJ,Rajasthan,RJ_Baran,Baran,61,25,33,3,0,0,0,0,0,,
511,RJ,Rajasthan,RJ_Barmer,Barmer,112,27,85,0,0,1,1,0,0,,
512,RJ,Rajasthan,RJ_Bharatpur,Bharatpur,893,570,314,9,0,110,39,71,0,,
513,RJ,Rajasthan,RJ_Bhilwara,Bhilwara,181,43,135,3,0,3,1,2,0,,
514,RJ,Rajasthan,RJ_Bikaner,Bikaner,117,22,90,5,0,2,1,0,1,,
0,RJ,Rajasthan,RJ_BSF Camp,BSF Camp,50,0,50,0,0,0,0,0,0,,
515,RJ,Rajasthan,RJ_Bundi,Bundi,9,8,1,0,0,1,0,1,0,,
516,RJ,Rajasthan,RJ_Chittorgarh,Chittorgarh,199,23,172,4,0,1,-1,2,0,,
517,RJ,Rajasthan,RJ_Churu,Churu,175,72,102,1,0,14,13,1,0,,
518,RJ,Rajasthan,RJ_Dausa,Dausa,74,23,50,1,0,1,1,0,0,,
519,RJ,Rajasthan,RJ_Dholpur,Dholpur,74,13,60,1,0,2,2,0,0,,
520,RJ,Rajasthan,RJ_Dungarpur,Dungarpur,383,44,339,0,0,2,2,0,0,,
0,RJ,Rajasthan,RJ_Evacuees,Evacuees,61,0,61,0,0,0,0,0,0,,
521,RJ,Rajasthan,RJ_Ganganagar,Ganganagar,11,4,7,0,0,1,0,1,0,,
522,RJ,Rajasthan,RJ_Hanumangarh,Hanumangarh,30,1,29,0,0,0,0,0,0,,
0,RJ,Rajasthan,RJ_Italians,Italians,2,0,2,0,0,0,0,0,0,,
523,RJ,Rajasthan,RJ_Jaipur,Jaipur,2411,402,1890,119,0,51,24,26,1,,
524,RJ,Rajasthan,RJ_Jaisalmer,Jaisalmer,77,5,72,0,0,1,1,0,0,,
525,RJ,Rajasthan,RJ_Jalore,Jalore,185,25,158,2,0,13,13,0,0,,
526,RJ,Rajasthan,RJ_Jhalawar,Jhalawar,335,87,248,0,0,4,1,3,0,,
527,RJ,Rajasthan,RJ_Jhunjhunu,Jhunjhunu,184,33,150,1,0,9,8,1,0,,
528,RJ,Rajasthan,RJ_Jodhpur,Jodhpur,1985,470,1489,26,0,41,-59,99,1,,
529,RJ,Rajasthan,RJ_Karauli,Karauli,34,18,13,3,0,1,1,0,0,,
530,RJ,Rajasthan,RJ_Kota,Kota,535,65,452,18,0,4,-4,8,0,,
531,RJ,Rajasthan,RJ_Nagaur,Nagaur,520,74,437,9,0,8,5,3,0,,
0,RJ,Rajasthan,RJ_Other State,Other State,50,35,0,15,0,3,2,0,1,,
532,RJ,Rajasthan,RJ_Pali,Pali,685,220,458,7,0,44,37,7,0,,
533,RJ,Rajasthan,RJ_Pratapgarh,Pratapgarh,14,0,13,1,0,0,0,0,0,,
534,RJ,Rajasthan,RJ_Rajsamand,Rajsamand,165,24,140,1,0,3,3,0,0,,
535,RJ,Rajasthan,RJ_Sawai Madhopur,Sawai Madhopur,45,23,17,5,0,0,0,0,0,,
536,RJ,Rajasthan,RJ_Sikar,Sikar,318,116,197,5,0,19,19,0,0,,
537,RJ,Rajasthan,RJ_Sirohi,Sirohi,219,80,136,3,0,8,8,0,0,,
538,RJ,Rajasthan,RJ_Tonk,Tonk,175,7,167,1,0,0,0,0,0,,
539,RJ,Rajasthan,RJ_Udaipur,Udaipur,590,54,535,1,0,3,-12,15,0,,
540,SK,Sikkim,SK_East Sikkim,East Sikkim,3,3,0,0,0,0,0,0,0,,
541,SK,Sikkim,SK_North Sikkim,North Sikkim,0,0,0,0,0,0,0,0,0,,
542,SK,Sikkim,SK_South Sikkim,South Sikkim,3,3,0,0,0,0,0,0,0,,
543,SK,Sikkim,SK_West Sikkim,West Sikkim,4,4,0,0,0,0,0,0,0,,
0,TG,Telangana,TG_Foreign Evacuees,Foreign Evacuees,33,33,0,0,0,0,0,0,0,,
0,TG,Telangana,TG_Other State,Other State,250,250,0,0,0,0,0,0,0,,
576,TG,Telangana,TG_Adilabad,Adilabad,30,15,15,0,0,0,0,0,0,,
577,TG,Telangana,TG_Bhadradri Kothagudem,Bhadradri Kothagudem,5,1,4,0,0,0,0,0,0,,
578,TG,Telangana,TG_Hyderabad,Hyderabad,2514,2186,305,23,0,143,143,0,0,,
579,TG,Telangana,TG_Jagtial,Jagtial,16,14,2,0,0,3,3,0,0,,
580,TG,Telangana,TG_Jangaon,Jangaon,6,5,1,0,0,0,0,0,0,,
581,TG,Telangana,TG_Jayashankar Bhupalapally,Jayashankar Bhupalapally,3,3,0,0,0,0,0,0,0,,
582,TG,Telangana,TG_Jogulamba Gadwal,Jogulamba Gadwal,46,20,25,1,0,0,0,0,0,,
583,TG,Telangana,TG_Kamareddy,Kamareddy,13,5,8,0,0,0,0,0,0,,
584,TG,Telangana,TG_Karimnagar,Karimnagar,25,9,16,0,0,2,2,0,0,,
585,TG,Telangana,TG_Khammam,Khammam,20,17,3,0,0,0,0,0,0,,
586,TG,Telangana,TG_Komaram Bheem,Komaram Bheem,14,12,2,0,0,0,0,0,0,,
587,TG,Telangana,TG_Mahabubabad,Mahabubabad,6,5,1,0,0,0,0,0,0,,
588,TG,Telangana,TG_Mahabubnagar,Mahabubnagar,31,23,8,0,0,4,4,0,0,,
589,TG,Telangana,TG_Mancherial,Mancherial,4,3,0,1,0,0,0,0,0,,
590,TG,Telangana,TG_Medak,Medak,17,13,4,0,0,3,3,0,0,,
591,TG,Telangana,TG_Medchal Malkajgiri,Medchal Malkajgiri,96,86,9,1,0,11,11,0,0,,
592,TG,Telangana,TG_Mulugu,Mulugu,2,0,2,0,0,0,0,0,0,,
593,TG,Telangana,TG_Nagarkurnool,Nagarkurnool,8,6,2,0,0,2,2,0,0,,
594,TG,Telangana,TG_Nalgonda,Nalgonda,23,11,12,0,0,0,0,0,0,,
595,TG,Telangana,TG_Narayanpet,Narayanpet,2,1,0,1,0,0,0,0,0,,
